"id","name","type","first","last","website","weight","created_at","modified_at"
"175","perspective","Interest",NULL,NULL,NULL,"0","0000-00-00 00:00:00","0000-00-00 00:00:00"
"176","material","Interest",NULL,NULL,NULL,"0","0000-00-00 00:00:00","0000-00-00 00:00:00"
"177","school","Interest",NULL,NULL,NULL,"0","0000-00-00 00:00:00","0000-00-00 00:00:00"
"178","decline","Interest",NULL,NULL,NULL,"0","0000-00-00 00:00:00","0000-00-00 00:00:00"
"179","introductory","Interest",NULL,NULL,NULL,"0","0000-00-00 00:00:00","0000-00-00 00:00:00"
"180","holistic","Interest",NULL,NULL,NULL,"0","0000-00-00 00:00:00","0000-00-00 00:00:00"
"181","japan","Interest",NULL,NULL,NULL,"0","0000-00-00 00:00:00","0000-00-00 00:00:00"
"182","culture","Interest",NULL,NULL,NULL,"0","0000-00-00 00:00:00","0000-00-00 00:00:00"
"183","direction","Interest",NULL,NULL,NULL,"0","0000-00-00 00:00:00","0000-00-00 00:00:00"
"184","chinese","Interest",NULL,NULL,NULL,"0","0000-00-00 00:00:00","0000-00-00 00:00:00"
"185","assets","Interest",NULL,NULL,NULL,"0","0000-00-00 00:00:00","0000-00-00 00:00:00"
"186","icons","Interest",NULL,NULL,NULL,"0","0000-00-00 00:00:00","0000-00-00 00:00:00"
"187","historian","Interest",NULL,NULL,NULL,"0","0000-00-00 00:00:00","0000-00-00 00:00:00"
"188","network","Interest",NULL,NULL,NULL,"0","0000-00-00 00:00:00","0000-00-00 00:00:00"
"189","violence","Interest",NULL,NULL,NULL,"0","0000-00-00 00:00:00","0000-00-00 00:00:00"
"190","construct","Interest",NULL,NULL,NULL,"0","0000-00-00 00:00:00","0000-00-00 00:00:00"
"191","developments","Interest",NULL,NULL,NULL,"0","0000-00-00 00:00:00","0000-00-00 00:00:00"
"192","generate","Interest",NULL,NULL,NULL,"0","0000-00-00 00:00:00","0000-00-00 00:00:00"
"193","translation","Interest",NULL,NULL,NULL,"0","0000-00-00 00:00:00","0000-00-00 00:00:00"
"194","tradition","Interest",NULL,NULL,NULL,"0","0000-00-00 00:00:00","0000-00-00 00:00:00"
"195","premodern","Interest",NULL,NULL,NULL,"0","0000-00-00 00:00:00","0000-00-00 00:00:00"
"196","memory","Interest",NULL,NULL,NULL,"0","0000-00-00 00:00:00","0000-00-00 00:00:00"
"197","courses","Interest",NULL,NULL,NULL,"0","0000-00-00 00:00:00","0000-00-00 00:00:00"
"198","future","Interest",NULL,NULL,NULL,"0","0000-00-00 00:00:00","0000-00-00 00:00:00"
"199","leading","Interest",NULL,NULL,NULL,"0","0000-00-00 00:00:00","0000-00-00 00:00:00"
"200","continent","Interest",NULL,NULL,NULL,"0","0000-00-00 00:00:00","0000-00-00 00:00:00"
"201","peripheries","Interest",NULL,NULL,NULL,"0","0000-00-00 00:00:00","0000-00-00 00:00:00"
"202","power","Interest",NULL,NULL,NULL,"0","0000-00-00 00:00:00","0000-00-00 00:00:00"
"203","question","Interest",NULL,NULL,NULL,"0","0000-00-00 00:00:00","0000-00-00 00:00:00"
"204","theme","Interest",NULL,NULL,NULL,"0","0000-00-00 00:00:00","0000-00-00 00:00:00"
"205","centers","Interest",NULL,NULL,NULL,"0","0000-00-00 00:00:00","0000-00-00 00:00:00"
"206","asia","Interest",NULL,NULL,NULL,"0","0000-00-00 00:00:00","0000-00-00 00:00:00"
"207","yale","Interest",NULL,NULL,NULL,"0","0000-00-00 00:00:00","0000-00-00 00:00:00"
"208","intersection","Interest",NULL,NULL,NULL,"0","0000-00-00 00:00:00","0000-00-00 00:00:00"
"209","perceived","Interest",NULL,NULL,NULL,"0","0000-00-00 00:00:00","0000-00-00 00:00:00"
"210","lay","Interest",NULL,NULL,NULL,"0","0000-00-00 00:00:00","0000-00-00 00:00:00"
"211","desire","Interest",NULL,NULL,NULL,"0","0000-00-00 00:00:00","0000-00-00 00:00:00"
"212","secular","Interest",NULL,NULL,NULL,"0","0000-00-00 00:00:00","0000-00-00 00:00:00"
"213","contemporary","Interest",NULL,NULL,NULL,"0","0000-00-00 00:00:00","0000-00-00 00:00:00"
"214","configurations","Interest",NULL,NULL,NULL,"0","0000-00-00 00:00:00","0000-00-00 00:00:00"
"215","humanities","Interest",NULL,NULL,NULL,"0","0000-00-00 00:00:00","0000-00-00 00:00:00"
"216","harvard","Interest",NULL,NULL,NULL,"0","0000-00-00 00:00:00","0000-00-00 00:00:00"
"217","complexity","Interest",NULL,NULL,NULL,"0","0000-00-00 00:00:00","0000-00-00 00:00:00"
"218","enable","Interest",NULL,NULL,NULL,"0","0000-00-00 00:00:00","0000-00-00 00:00:00"
"219","monastic","Interest",NULL,NULL,NULL,"0","0000-00-00 00:00:00","0000-00-00 00:00:00"
"220","construction","Interest",NULL,NULL,NULL,"0","0000-00-00 00:00:00","0000-00-00 00:00:00"
"221","ideological","Interest",NULL,NULL,NULL,"0","0000-00-00 00:00:00","0000-00-00 00:00:00"
"222","century","Interest",NULL,NULL,NULL,"0","0000-00-00 00:00:00","0000-00-00 00:00:00"
"223","japanese","Interest",NULL,NULL,NULL,"0","0000-00-00 00:00:00","0000-00-00 00:00:00"
"224","understanding","Interest",NULL,NULL,NULL,"0","0000-00-00 00:00:00","0000-00-00 00:00:00"
"225","inspired","Interest",NULL,NULL,NULL,"0","0000-00-00 00:00:00","0000-00-00 00:00:00"
"226","Felipe Aguerrevere","Researcher","Felipe","Aguerrevere","https://www.ualberta.ca/business/about/contact-us/school-directory/felipe-aguerrevere","0","0000-00-00 00:00:00","2018-02-13 12:05:32"
"228","Rob Aitken","Researcher","Rob","Aitken","https://www.ualberta.ca/arts/about/people-collection/rob-aitken","0","0000-00-00 00:00:00","2018-03-13 22:09:04"
"229","critical","Interest",NULL,NULL,NULL,"0","0000-00-00 00:00:00","0000-00-00 00:00:00"
"230","economy","Interest",NULL,NULL,NULL,"0","0000-00-00 00:00:00","0000-00-00 00:00:00"
"231","finance","Interest",NULL,NULL,NULL,"0","0000-00-00 00:00:00","0000-00-00 00:00:00"
"232","financial","Interest",NULL,NULL,NULL,"0","0000-00-00 00:00:00","0000-00-00 00:00:00"
"233","Brandon Alakas","Researcher","Brandon","Alakas","https://www.ualberta.ca/augustana/about-us/academic-staff/brandon-alakas","0","0000-00-00 00:00:00","2018-03-02 20:45:37"
"234","Augustana","Department",NULL,NULL,NULL,"0","0000-00-00 00:00:00","0000-00-00 00:00:00"
"235","reimagining","Interest",NULL,NULL,NULL,"0","0000-00-00 00:00:00","0000-00-00 00:00:00"
"236","medievalism","Interest",NULL,NULL,NULL,"0","0000-00-00 00:00:00","0000-00-00 00:00:00"
"237","writing","Interest",NULL,NULL,NULL,"0","0000-00-00 00:00:00","0000-00-00 00:00:00"
"238","reformation","Interest",NULL,NULL,NULL,"0","0000-00-00 00:00:00","0000-00-00 00:00:00"
"239","medieval","Interest",NULL,NULL,NULL,"0","0000-00-00 00:00:00","0000-00-00 00:00:00"
"240","devotional","Interest",NULL,NULL,NULL,"0","0000-00-00 00:00:00","0000-00-00 00:00:00"
"241","drama","Interest",NULL,NULL,NULL,"0","0000-00-00 00:00:00","0000-00-00 00:00:00"
"242","cooking","Interest",NULL,NULL,NULL,"0","0000-00-00 00:00:00","0000-00-00 00:00:00"
"243","Isabel Altamirano","Researcher","Isabel","Altamirano","https://www.ualberta.ca/arts/about/people-collection/isabel-altamirano-jimenez","0","0000-00-00 00:00:00","2018-03-09 20:30:37"
"244","Native Studies","Department",NULL,NULL,NULL,"0","0000-00-00 00:00:00","0000-00-00 00:00:00"
"245","women","Interest",NULL,NULL,NULL,"0","0000-00-00 00:00:00","0000-00-00 00:00:00"
"246","feminism","Interest",NULL,NULL,NULL,"0","0000-00-00 00:00:00","0000-00-00 00:00:00"
"247","mapping","Interest",NULL,NULL,NULL,"0","0000-00-00 00:00:00","0000-00-00 00:00:00"
"248","indigenous","Interest",NULL,NULL,NULL,"0","0000-00-00 00:00:00","0000-00-00 00:00:00"
"249","mexico","Interest",NULL,NULL,NULL,"0","0000-00-00 00:00:00","0000-00-00 00:00:00"
"250","water","Interest",NULL,NULL,NULL,"0","0000-00-00 00:00:00","0000-00-00 00:00:00"
"254","Henry An","Researcher","Henry","An","NA","0","0000-00-00 00:00:00","2018-02-14 14:58:41"
"255","adoption","Interest",NULL,NULL,NULL,"0","0000-00-00 00:00:00","0000-00-00 00:00:00"
"256","organization","Interest",NULL,NULL,NULL,"0","0000-00-00 00:00:00","0000-00-00 00:00:00"
"257","genetically","Interest",NULL,NULL,NULL,"0","0000-00-00 00:00:00","0000-00-00 00:00:00"
"258","industrial","Interest",NULL,NULL,NULL,"0","0000-00-00 00:00:00","0000-00-00 00:00:00"
"259","food","Interest",NULL,NULL,NULL,"0","0000-00-00 00:00:00","0000-00-00 00:00:00"
"260","Sven Anders","Researcher","Sven","Anders","https://www.ualberta.ca/agriculture-life-environment-sciences/about-us/facultylecturer-directory/sven-anders","0","0000-00-00 00:00:00","2018-03-14 16:22:07"
"261","marketing","Interest",NULL,NULL,NULL,"0","0000-00-00 00:00:00","0000-00-00 00:00:00"
