Margriet Haagsma,department, ,interests,['housing']
Kevin Haggerty,department, 
Reidar Hagtvedt,department, 
Christopher Hale,department, ,interests,"['scandinavian', 'philology', 'norwegian']"
Lars Hallstrom,department, 
Elizabeth Halpenny,department, ,interests,"['brand', 'volunteerism', 'marine']"
Susan Hamilton,department, ,interests,['idea']
Mark Hannesson,department, 
Vicki Harber,department, ,interests,"['dysfunction', 'reproductive', 'bone']"
Roxanne Harde,department, ,interests,"['dreams', 'searching']"
Lois Harder,department, 
Paul Harland,department, ,interests,['donne']
Corrinne Harol,department, ,interests,['liberalism']
Lesley Harrington,department, ,interests,['huntergatherers']
Joanna Harrington,department, 
Steven Harris,department, ,interests,"['avantgarde', 'abstraction']"
John Harris,department, ,interests,['prose']
Trevor Harrison,department, 
Howie Harshaw,department, ,interests,"['indicators', 'contributions', 'netherlands', 'atlantic', 'portuguese', 'problematics', 'difference', 'mythology']"
Reza Hasmath,department, ,interests,['household']
Kierstin Hatt,department, 
Gerald Haubl,department, 
Leslie Hayduk,department, ,interests,"['schooling', 'habits', 'nursing']"
Denyse Hayward,department, ,interests,"['ministry', 'comparison', 'word', 'core', 'syntax', 'accuracy', 'instrument', 'modules']"
Jane Heather,department, ,interests,['playwright']
Jaymie Heilman,department, ,interests,"['bolivia', 'caribbean', 'peasants']"
Jocelyn Hendrickson,department, 
Keith Herder,department, 
Cressida Heyes,department, ,interests,"['definition', 'symbolic', 'conception', 'somatic', 'persistence', 'thinkers', 'matter', 'connection', 'bridge', 'negotiation']"
Clive N. Hickson,department, ,interests,['mentor']
Peter Hide,department, ,interests,"['specialist', 'london']"
Steven Hijmans,department, ,interests,"['manners', 'solar', 'superior', 'birth', 'cult', 'god', 'invisible', 'notorious', 'programme']"
Joseph Hill,department, ,interests,"['tension', 'mauritania', 'phenomenon', 'feminine', 'hegemonic', 'contrasting', 'sahara', 'disciples', 'arabic', 'paradoxical', 'cairo', 'mysticism']"
John-Paul Himka,department, 
Tom Hinch,department, ,interests,['cache']
C.R. (Bob) Hinings,department, 
Paul Hjartarson,department, ,interests,"['defence', 'materialist', 'postmodernism']"
Bryan Hogeveen,department, ,interests,['welfare']
Wendy Hoglund,department, 
Brendan Hokowhitu,department, 
Nick Holt,department, ,interests,"['treatment', 'lowincome', 'psychosocial']"
Ronald G. Hopp,department, 
Dmrytro Hryshko,department, 
Jannifer Hsu,department, ,interests,['corporatism']
Haifang Huang,department, 
Marie-Helene Hubert,department, ,interests,['antecedents']
Karen Hughes,department, ,interests,"['financing', 'entrepreneurship', 'workfamily', 'enterprise']"
Elaine Hughes,department, 
